date;time;title;full_price;reduced;free;total
03/11/2024;20:30;CAMPO DI BATTAGLIA ;13;26;0;39
09/11/2024;20:30;PARTHENOPE;7;12;;19
10/11/2024;20:30;PARTHENOPE;9;20;;29
17/11/2024;20:30;THE APPRENTICE - LE ORIGINI DI TRUMP;7;8;;15
21/11/2024;20:30;Maestro che promise il mare ;20;10;;30
23/11/2024;20:30;Gladiatore II;22;34;1;57
24/11/2024;17:00;200% Lupo;21;30;0;51
24/11/2024;20:30;Gladiatore II;24;21;;45
27/11/2024;20:30;Berlinguer;18;22;1;41
01/12/2024;17:00;200% Lupo;14;17;0;31
01/12/2024;20:30;Berlinguer;31;23;1;55
06/12/2024;20:30;Napoli -> New York;14;19;;33
08/12/2024;20:30;Napoli -> New York;31;16;;47
11/12/2024;20:30;Iddu;3;9;0;12
15/12/2024;17:00;Wicked;26;43;3;72
15/12/2024;20:30;Gladiatore II;26;21;1;48
19/12/2024;20:30;Giurato Numero 2;22;18;0;40
21/12/2024;20:30;Oceania 2;28;137;3;168
22/12/2024;17:00;Oceania 2 ;86;194;13;293
22/12/2024;20:30;Giurato Numero 2;10;21;;31
25/12/2024;20:30;Cortina Express;19;10;1;31
26/12/2024;17:00;Mufasa;107;128;6;242
26/12/2024;20:30;Oceania 2;41;67;7;115
28/12/2024;17:00;Piece By Piece;5;9;;14
28/12/2024;20:30;Conclave;55;29;1;87
29/12/2024;17:00;Mufasa;76;109;1;186
29/12/2024;20:30;Wicked VO;7;36;3;46
30/12/2024;17:00;Cortina Express;4;13;;17
30/12/2024;20:30;Una Notte a New York;22;16;0;39
01/01/2025;20:30;KRAVEN;2;2;;4
02/01/2025;17:00;OCEANIA 2;63;131;1;196
02/01/2025;20:30;CONCLAVE;55;47;3;107
03/01/2025;17:00;FLOW;12;51;5;70
03/01/2025;20:30;MUFASA;51;62;7;120
04/01/2025;17:00;KRAVEN;4;5;0;10
04/01/2025;20:30;PIECE BY PIECE;4;9;0;13
05/01/2025;17:00;SONIC 3;74;135;5;214
05/01/2025;20:30;UNA NOTTE A NEW YORK;11;17;1;32
06/01/2025;17:00;FLOW;32;57;7;96
11/01/2025;20:30;LA STANZA ACCANTO;33;14;0;47
12/01/2025;17:00;SONIC 3;40;86;4;130
12/01/2025;20:30;LA STANZA ACCANTO;41;24;1;71
18/01/2025;20:30;BETTER MAN - WILLIAMS;19;31;0;50
19/01/2025;17:00;MUFASA;58;83;8;149
19/01/2025;20:30;BETTER MAN - WILLIAMS;9;9;0;18
26/02/2025;20:30;A COMPLETE UNKNOWN;64;29;31;4
01/03/2025;20:30;PADDINGTON IN PERU';71;27;41;3
02/03/2025;17:00;PADDINGTON IN PERU';82;37;42;3
02/03/2025;20:30;A COMPLETE UNKNOWN;64;27;31;6
03/03/2025;20:30;HERE;20;7;12;1
04/03/2025;20:30;IL RAGAZZO DAI PANTLAONI ROSA;118;48;66;4
05/03/2025;17:00;PADDINGTON IN PERU';59;19;40;
05/03/2025;20:30;HERE ;16;6;10;0
08/03/2025;17:00;CAPTAIN AMERICA;10;3;6;1
08/03/2025;20:30;NON DIRMI CHE HAI PAURA ;43;43;0;
09/03/2025;17:00;CAPTAIN AMERICA;17;6;11;
09/03/2025;20:30;CAPTAIN AMERICA;5;1;4;0
12/03/2025;20:30;MIRABILE VISIONE: INFERNO;14;6;7;1
15/03/2025;20:30;EMILIA PEREZ;30;30;0;60
16/03/2025;17:00;DOG MAN;13;17;1;31
16/03/2025;20:30;EMILIA PEREZ;23;9;1;33
19/03/2025;20:30;IL SEME DEL FICO SACRO ;19;22;;41
22/03/2025;20:30;FOLLEMENTE;72;25;0;97
23/03/2025;17:00;FOLLEMENTE;63;22;0;85
23/03/2025;20:30;IL SEME DEL FICO SACRO;19;23;0;42
26/03/2025;20:00;THE BRUTALIST;12;14;0;26
29/03/2025;20:30;SNOWWHITE LIVE;25;41;2;68
30/03/2025;17:00;SNOWWHITE LIVE;43;64;4;111
30/03/2025;20:00;THE BRUTALIST;9;12;0;21
02/04/2025;20:30;IO SONO ANCORA QUI;18;16;0;34
05/04/2025;20:30;MICKEY 17;9;2;1;12
06/04/2025;17:00;SNOWWHITE LIVE;15;41;1;57
06/04/2025;20:30;MICKEY 17;9;10;0;19
09/04/2025;20:30;NO OTHER LAND;42;34;2;78
12/04/2025;20:30;BRIDGET JONES;13;1;0;14
13/04/2025;17:00;BRIDGET JONES;18;4;0;22
13/04/2025;20:30;SNOW WHITE LIVE VOS;3;7;0;10
16/04/2025;20:30;ONE LIFE;7;36;0;43
19/04/2025;20:30;NONOSTANTE;10;5;0;15
20/04/2025;17:00;MINECRAFT;16;43;0;59
20/04/2025;20:30;NONOSTANTE;9;10;0;19
21/04/2025;17:00;MINECRAFT;56;134;6;196
23/04/2025;20:30;ANORA ;14;26;1;41
25/04/2025;20:30;OPERAZIONE VENDETTA;15;4;;19
26/04/2025;20:30;MOON IL PANDA;5;12;;17
27/04/2025;17:00;MOON IL PANDA;21;26;1;48
27/04/2025;20:30;ANORA V.O.;4;8;0;12
30/04/2025;20:30;LE ASSAGGIATRICI ;43;35;2;80
01/05/2025;20:30;THUNDERBOLTS;3;18;0;21
02/05/2025;17:00;MINECRAFT;21;77;4;102
02/05/2025;20:30;THUNDERBOLTS;9;18;1;28
07/05/2025;20:30;QUEER;18;9;0;27
10/05/2025;20:30;THE LEGEND OF OCHI;9;7;0;16
11/05/2025;17:00;THE LEGEND OF OCHI;3;4;1;8
11/05/2025;20:30;QUEER V.O.;12;19;0;31
