date;time;title;full_price;reduced;free;total
01/05/2022;17:00;Troppo Cattivi;16;24;1;41
01/05/2022;20:30;CODA;5;3;0;8
04/05/2022;20:30;Ennio;30;18;1;49
07/05/2022;20:30;Hopper e il tempio perduto;5;8;0;13
08/05/2022;17:00;Hopper e il tempio perduto;20;39;0;59
08/05/2022;20:30;Ennio;25;20;0;45
11/05/2022;20:30;Licorice Pizza;16;9;1;26
14/05/2022;20:30;Downton Abbey II - Una nuova era;14;8;0;22
15/05/2022;20:30;Downton Abbey II - Una nuova era;12;11;0;23
18/05/2022;20:30;La Signora delle Rose;10;6;0;16
21/05/2022;17:00;Sonic 2 - Il film;6;19;0;25
21/05/2022;20:30;Doctor Strange nel Multiverso della Follia;4;21;0;25
22/05/2022;17:00;Sonic 2 - Il film;10;25;0;35
22/05/2022;20:30;Doctor Strange nel Multiverso della Follia;6;15;1;22
25/05/2022;20:30;Belfast;24;18;0;42
28/05/2022;20:30;Top Gun: Maverick;38;30;0;68
29/05/2022;17:00;Top Gun: Maverick;33;9;0;42
29/05/2022;20:30;Top Gun: Maverick;40;20;1;61
05/06/2022;17:00;Doctor Strange nel Multiverso della Follia;20;35;0;55
05/06/2022;20:30;Top Gun: Maverick;15;4;0;19
08/06/2022;20:30;Operazione Mincemeat;8;15;0;23
11/06/2022;20:30;Jurassic World - Il dominio;28;51;2;81
12/06/2022;17:00;Jurassic World - Il dominio;14;24;0;38
12/06/2022;20:30;Operazione Mincemeat;3;7;0;10
15/06/2022;20:30;Billie Holiday;11;9;0;20
18/06/2022;20:30;Top Gun: Maverick;17;23;0;40
19/06/2022;17:00;Jurassic World - Il dominio;7;7;1;15
19/06/2022;20:30;Billie Holiday;4;11;0;15
22/06/2022;20:30;Lunana;29;34;1;64
25/06/2022;20:30;Lightyear;5;6;0;11
26/06/2022;17:00;Lightyear;7;8;2;17
26/06/2022;20:30;Lightyear;7;10;0;17
24/09/2022;20:30;Thor Love and Thunder;5;12;0;17
25/09/2022;17:00;Minions 2;25;55;1;81
25/09/2022;20:30;Thor Love and Thunder;5;9;0;14
01/10/2022;20:30;Rumba Therapy;1;4;0;5
02/10/2022;17:00;DC League Pet;16;19;0;35
02/10/2022;20:30;Rumba Therapy;0;0;0;0
08/10/2022;20:30;Memory;6;6;0;12
09/10/2022;17:00;DC League Pet;28;48;3;79
09/10/2022;20:30;Memory;4;2;0;6
15/10/2022;17:00;Il Ragazzo e la Tigre;6;15;0;21
15/10/2022;20:30;Don't Worry Darling;5;17;0;22
16/10/2022;17:00;Il Ragazzo e la Tigre;7;7;1;15
16/10/2022;20:30;Don't Worry Darling;5;10;0;15
19/10/2022;20:30;Il Signore delle Formiche ;17;18;0;35
22/10/2022;20:30;Ticket to Paradise;51;14;0;65
